Time,F3 - C3,C3 - P3,P3 - O1,F4 - C4,C4 - P4,P4 - O2,FZ - CZ,CZ - PZ
236,4,2,37,3,4,14,5,6
237,4,-1,33,1,3,13,5,3
238,3,-4,30,-1,2,12,4,1
239,2,-6,28,-3,1,12,3,-1
240,1,-7,27,-4,-1,13,2,-3
241,0,-8,27,-5,-3,14,1,-5
242,-1,-8,27,-7,-4,15,0,-6
243,-2,-8,28,-9,-4,17,-2,-7
244,-3,-7,29,-10,-4,19,-3,-7
245,-4,-6,29,-11,-4,22,-4,-7
246,-4,-5,29,-11,-3,24,-4,-7
247,-4,-3,28,-10,-1,26,-5,-6
248,-3,-2,27,-9,0,27,-4,-5
249,-1,-1,27,-7,2,28,-4,-5
250,2,0,28,-5,4,29,-3,-4
251,3,1,30,-3,5,28,-1,-3
252,4,2,33,-2,6,25,0,-3
253,4,2,34,-1,6,21,1,-3
254,4,2,33,-1,5,18,1,-3
255,3,2,31,-1,4,15,1,-3
256,3,1,27,-1,2,12,1,-3
257,2,0,22,-1,0,11,1,-3
258,2,-1,20,-2,-2,12,0,-3
259,2,-2,29,-2,-2,16,0,-3
260,2,-3,48,-3,-1,24,-1,-3
261,2,-5,66,-4,-1,32,-1,-3
262,1,-6,75,-5,0,35,-2,-4
263,1,-8,68,-7,-1,32,-2,-5
264,1,-9,46,-9,-2,22,-3,-6
265,1,-11,19,-11,-4,11,-3,-6
266,1,-12,-5,-12,-5,4,-3,-7
267,1,-12,-18,-11,-5,2,-4,-7
268,1,-11,-20,-10,-6,4,-4,-8
269,0,-9,-16,-9,-6,8,-4,-8
270,-1,-7,-14,-7,-6,11,-3,-8
271,-1,-5,-15,-6,-5,13,-2,-7
272,0,-3,-17,-4,-4,13,-1,-6
273,2,-1,-19,-3,-2,14,0,-4
274,3,1,-19,-1,0,16,1,-3
275,3,2,-17,1,2,17,1,-1
276,2,3,-13,2,4,17,1,1
277,1,3,-9,3,5,18,1,2
278,-1,3,-5,3,6,19,0,3
279,-2,3,0,3,7,22,0,3
280,-3,3,4,2,7,26,-1,3
281,-3,1,6,1,7,28,-2,2
282,-5,-1,8,0,6,29,-3,1
283,-6,-3,8,-1,4,29,-5,0
284,-7,-6,8,-2,3,27,-6,-1
285,-9,-8,8,-3,1,25,-7,-3
286,-9,-10,6,-4,-1,23,-7,-5
287,-10,-11,3,-5,-2,21,-7,-6
288,-10,-12,-1,-5,-3,19,-7,-8
289,-10,-12,-5,-5,-3,19,-7,-9
290,-10,-12,-7,-5,-4,20,-7,-10
291,-9,-12,-8,-5,-5,22,-7,-11
292,-9,-11,-8,-5,-5,24,-7,-11
293,-8,-10,-7,-5,-5,25,-7,-11
294,-8,-9,-7,-6,-5,25,-7,-10
295,-7,-7,-6,-5,-4,24,-7,-8
296,-6,-5,-5,-5,-3,23,-6,-6
297,-5,-2,-4,-4,-1,24,-6,-4
298,-4,1,5,-3,1,27,-5,-2
299,-3,5,26,-1,4,32,-3,1
300,-1,8,60,2,6,38,0,2
301,1,11,100,4,8,44,2,4
302,3,13,139,7,9,49,4,5
303,4,14,167,9,9,53,5,6
304,5,14,180,11,8,55,5,6
305,4,13,182,10,6,57,4,6
306,3,12,180,9,5,59,2,6
307,1,10,178,6,4,59,-1,5
308,-1,7,178,2,3,58,-3,4
309,-3,3,176,-1,2,57,-5,2
310,-5,-1,172,-3,2,56,-7,0
311,-7,-4,168,-5,0,55,-8,-2
312,-10,-7,162,-6,-1,54,-8,-4
313,-12,-9,156,-8,-3,51,-8,-6
314,-13,-11,149,-9,-3,47,-8,-8
315,-13,-12,142,-10,-4,43,-8,-9
316,-13,-12,136,-10,-4,39,-8,-11
317,-12,-11,131,-10,-3,38,-9,-11
318,-12,-11,126,-9,-3,36,-9,-11
319,-10,-10,121,-8,-2,35,-8,-11
320,-8,-8,115,-7,-1,34,-7,-10
321,-5,-7,108,-5,0,34,-4,-8
322,-1,-4,99,-3,2,33,-1,-7
323,1,-1,91,0,3,33,2,-5
324,2,3,83,1,4,33,3,-4
325,2,6,79,2,5,33,4,-2
326,2,9,75,3,6,33,4,-1
327,3,12,71,5,7,34,5,2
328,4,15,68,7,7,35,5,4
329,5,16,65,9,7,35,5,6
330,5,16,62,10,7,35,4,8
331,5,14,60,9,7,35,4,8
332,3,12,57,7,6,33,2,7
333,-1,8,54,4,5,30,-1,4
334,-4,5,53,1,3,29,-4,2
335,-7,1,54,-2,2,30,-7,0
336,-9,-2,59,-5,0,33,-9,-2
337,-10,-4,65,-7,-2,38,-11,-3
338,-10,-7,71,-10,-4,42,-13,-5
339,-11,-9,75,-12,-5,45,-14,-7
340,-12,-10,74,-13,-6,44,-14,-9
341,-12,-11,70,-13,-7,42,-14,-10
342,-12,-11,63,-13,-7,40,-14,-11
343,-11,-11,54,-12,-7,38,-12,-12
344,-10,-11,42,-11,-7,36,-11,-12
345,-8,-11,30,-10,-5,34,-10,-12
346,-6,-11,18,-9,-4,31,-8,-10
347,-4,-10,7,-8,-3,27,-6,-9
348,-2,-9,-2,-6,-1,24,-4,-7
349,0,-6,-7,-4,-1,22,-2,-6
350,1,-3,-11,-2,0,21,-1,-4
351,2,0,-12,1,1,21,1,-1
352,3,2,-12,3,2,21,2,1
353,4,4,-12,4,4,20,3,3
354,5,4,-11,5,5,19,2,5
355,5,4,-10,6,6,19,1,6
356,5,4,-7,6,6,20,-1,6
357,4,3,-4,5,5,21,-2,6
358,2,2,-1,5,4,23,-4,5
359,-1,1,0,4,2,24,-4,4
360,-4,-1,1,2,-1,24,-4,1
361,-6,-3,1,1,-2,24,-4,-2
362,-7,-6,1,-1,-3,25,-3,-4
363,-7,-9,1,-2,-4,26,-3,-7
364,-6,-11,1,-3,-5,27,-3,-8
365,-5,-13,0,-4,-6,27,-3,-9
366,-5,-14,-2,-4,-6,26,-3,-10
367,-4,-14,-6,-5,-6,23,-4,-10
368,-4,-13,-13,-5,-6,21,-4,-10
369,-4,-13,-23,-5,-7,19,-3,-10
370,-4,-12,-33,-4,-7,17,-2,-9
371,-3,-10,-40,-2,-7,16,-1,-9
372,-2,-8,-43,-1,-7,16,-1,-9
373,-1,-6,-45,1,-6,16,0,-8
374,1,-3,-47,3,-4,16,1,-8
375,3,-2,-54,4,-3,14,2,-7
376,5,-1,-69,6,-2,12,4,-7
377,6,0,-95,7,0,8,5,-6
378,8,0,-130,7,1,2,6,-6
379,9,1,-168,8,3,-5,7,-5
380,9,3,-201,8,4,-11,7,-3
381,10,5,-226,9,5,-16,8,-1
382,11,7,-237,9,5,-18,9,1
383,12,8,-238,9,6,-20,9,2
384,12,7,-233,9,7,-21,9,3
385,11,5,-227,8,7,-21,9,3
386,10,1,-222,8,6,-21,8,2
387,9,-2,-216,7,5,-21,7,0
388,8,-5,-209,6,3,-20,5,-2
389,6,-8,-202,6,1,-20,4,-3
390,5,-10,-195,5,0,-21,3,-5
391,4,-11,-192,5,-1,-23,3,-6
392,4,-12,-189,5,-2,-24,3,-7
393,4,-12,-186,4,-3,-24,3,-7
394,5,-11,-183,4,-3,-23,3,-6
395,5,-11,-182,3,-2,-21,4,-6
396,6,-9,-181,3,-2,-19,5,-5
397,6,-8,-178,3,-1,-18,5,-5
398,6,-7,-173,3,-1,-17,6,-5
399,6,-5,-166,3,1,-14,5,-4
400,5,-4,-159,3,2,-11,5,-4
401,5,-2,-153,2,2,-8,4,-3
402,4,0,-148,2,3,-4,3,-3
403,4,2,-145,1,3,0,3,-2
404,3,4,-141,1,3,3,3,-2
405,3,5,-138,2,2,5,4,-2
406,2,6,-135,3,2,5,4,-1
407,1,8,-133,4,1,6,4,0
408,-1,9,-132,5,2,7,4,1
409,-3,9,-130,5,2,8,3,2
410,-4,9,-128,4,2,8,2,2
411,-5,7,-124,2,2,9,1,2
412,-6,5,-121,0,2,9,-1,1
413,-6,2,-117,-3,2,9,-2,0
414,-7,0,-114,-5,1,10,-4,-1
415,-7,-2,-112,-7,1,11,-4,-2
416,-7,-4,-108,-9,0,12,-5,-3
417,-8,-4,-102,-10,0,14,-6,-3
418,-8,-5,-96,-11,0,16,-6,-2
419,-8,-5,-92,-12,0,17,-6,-2
420,-8,-5,-93,-11,0,15,-6,-2
421,-8,-5,-98,-11,0,10,-6,-2
422,-7,-5,-108,-11,1,5,-6,-2
423,-6,-6,-120,-11,1,-1,-6,-2
424,-5,-7,-129,-10,1,-4,-5,-2
425,-3,-7,-135,-9,2,-4,-5,-2
426,-1,-6,-134,-8,2,-2,-4,-2
427,0,-5,-128,-7,2,0,-3,-1
428,2,-3,-122,-6,2,2,-2,0
429,3,-1,-120,-5,3,2,-1,1
430,3,1,-123,-3,3,0,-1,2
431,4,2,-131,-3,4,-4,0,2
432,3,3,-139,-2,5,-8,1,3
433,3,3,-145,-3,5,-11,1,3
434,3,2,-146,-3,5,-14,1,2
435,3,1,-142,-4,4,-16,1,2
436,3,-1,-135,-5,2,-16,1,1
437,2,-3,-128,-5,0,-15,0,0
438,1,-5,-122,-6,-2,-14,-1,-1
439,-1,-6,-116,-7,-3,-13,-2,-2
440,-2,-7,-111,-8,-4,-14,-3,-3
441,-3,-8,-110,-10,-4,-16,-3,-4
442,-3,-9,-115,-11,-5,-18,-4,-5
443,-2,-10,-124,-11,-5,-21,-4,-5
444,-1,-10,-132,-11,-4,-22,-3,-5
445,-1,-9,-140,-11,-4,-24,-3,-5
446,-1,-8,-145,-10,-4,-26,-3,-5
447,-1,-7,-148,-10,-4,-30,-2,-5
448,0,-7,-150,-9,-5,-33,-2,-6
449,0,-7,-152,-9,-5,-35,-2,-6
450,0,-6,-154,-8,-5,-37,-1,-6
451,-1,-5,-156,-7,-5,-37,0,-6
452,-2,-4,-158,-6,-4,-37,1,-6
453,-3,-4,-159,-6,-3,-38,1,-6
454,-3,-4,-160,-5,-3,-39,1,-6
455,-3,-3,-161,-5,-3,-39,1,-5
456,-3,-3,-162,-5,-3,-38,1,-4
457,-2,-3,-162,-4,-3,-37,1,-4
458,-2,-3,-162,-3,-3,-36,1,-3
459,-3,-3,-161,-3,-4,-36,-1,-2
460,-2,-3,-159,-2,-4,-37,-1,-2
461,-2,-4,-158,-2,-5,-39,-2,-1
462,-1,-4,-155,-1,-5,-41,-2,-1
463,1,-4,-152,-1,-4,-43,-2,-2
464,2,-4,-146,0,-3,-47,-2,-2
465,3,-3,-140,0,-2,-52,-1,-2
466,3,-3,-134,0,-2,-57,-1,-2
467,3,-2,-131,-1,-2,-63,0,-2
468,4,-2,-129,-1,-2,-68,0,-2
469,4,-1,-129,-2,-2,-74,1,-2
470,4,-1,-130,-1,-3,-81,1,-2
471,5,0,-134,-1,-3,-89,1,-2
472,5,0,-140,0,-3,-96,1,-3
473,5,1,-146,0,-3,-102,1,-3
474,5,2,-151,0,-3,-106,0,-3
475,5,2,-154,0,-3,-107,0,-3
476,6,2,-157,0,-3,-108,0,-3
477,6,1,-158,0,-3,-108,-1,-3
478,7,1,-158,0,-3,-107,-1,-2
479,7,0,-157,0,-3,-107,-2,-1
480,6,0,-153,0,-2,-105,-2,-1
481,5,1,-147,1,-2,-102,-2,-1
482,4,2,-140,2,-2,-98,-2,-1
483,3,3,-133,3,-1,-93,-1,-1
484,2,3,-123,3,-1,-86,0,-1
485,2,2,-110,4,0,-77,2,-1
486,2,1,-97,3,-1,-68,3,-2
487,2,-1,-88,3,-1,-62,3,-2
488,2,-2,-84,2,-2,-60,3,-3
489,2,-4,-86,2,-4,-62,2,-5
490,1,-4,-92,1,-5,-64,1,-5
491,1,-5,-100,-1,-5,-67,-1,-5
492,1,-5,-109,-2,-5,-69,-1,-5
493,1,-4,-118,-2,-4,-70,-1,-5
494,2,-4,-127,-2,-4,-72,-1,-5
495,3,-4,-137,-2,-3,-75,1,-5
496,3,-4,-147,-1,-3,-78,2,-5
497,3,-5,-156,-1,-3,-82,3,-5
498,3,-5,-161,-1,-3,-83,3,-5
499,3,-4,-164,-1,-3,-83,4,-5
500,2,-4,-161,-1,-3,-81,3,-4
501,2,-3,-154,-1,-3,-78,3,-3
502,1,-2,-143,-1,-3,-74,2,-3
503,1,0,-129,-1,-4,-70,1,-2
504,0,1,-115,-1,-4,-66,0,-1
505,-1,1,-102,-1,-4,-61,-1,-1
506,-2,1,-92,-2,-4,-57,-1,-2
507,-2,1,-81,-2,-4,-52,-2,-3
508,-3,0,-71,-3,-3,-46,-2,-3
509,-3,-1,-62,-3,-3,-40,-2,-4
510,-2,-1,-56,-2,-4,-36,-2,-4
511,-2,-1,-55,-1,-4,-34,-1,-4
512,-1,1,-59,0,-4,-35,0,-3
513,0,2,-65,2,-3,-38,1,-2
514,0,4,-71,3,-2,-41,1,-1
515,0,4,-74,4,-1,-44,1,1
516,1,5,-72,4,0,-43,2,2
517,1,5,-69,5,1,-42,2,2
518,1,4,-67,5,2,-41,3,2
519,1,3,-66,4,2,-41,3,2
520,1,3,-65,3,2,-41,3,1
521,-1,3,-63,2,2,-41,2,1
522,-2,4,-61,2,1,-40,2,2
523,-2,4,-60,1,1,-39,2,2
524,-1,4,-59,1,1,-38,3,1
525,0,3,-57,1,1,-37,4,1
526,1,2,-53,1,0,-34,5,0
527,2,1,-49,2,0,-31,6,-1
528,3,0,-44,3,0,-26,7,-1
529,3,1,-38,4,0,-21,7,0
530,3,2,-34,5,1,-16,7,1
531,3,4,-33,5,2,-13,7,2
532,4,4,-33,5,4,-10,7,2
533,4,5,-35,5,4,-8,8,3
534,4,5,-37,5,5,-6,8,4
535,4,6,-36,5,4,-5,7,4
536,3,6,-32,4,4,-3,6,5
537,2,6,-28,3,3,-3,5,5
538,2,6,-24,2,2,-3,4,4
539,1,5,-22,1,1,-5,3,3
540,1,4,-22,1,-1,-8,3,3
541,1,4,-22,2,-1,-11,4,2
542,1,3,-22,4,-2,-14,4,1
543,2,3,-20,5,-3,-17,5,1
544,2,3,-19,5,-2,-19,5,1
545,3,3,-18,6,-2,-21,5,2
546,3,3,-16,7,-1,-22,6,2
547,2,4,-14,7,-1,-22,7,2
548,1,4,-12,8,0,-22,7,3
549,0,4,-9,8,-1,-21,7,3
550,-1,4,-7,8,-1,-20,6,4
551,-2,3,-5,8,-2,-19,5,3
552,-2,2,-4,7,-3,-19,3,2
553,-1,2,-4,6,-3,-19,2,2
554,0,1,-4,6,-3,-20,2,1
555,2,0,-2,7,-3,-21,2,1
556,3,-1,2,6,-2,-21,2,2
557,4,-2,6,5,-2,-20,2,2
558,4,-3,11,4,-1,-18,1,2
559,3,-3,15,2,0,-15,0,2
560,2,-2,17,1,1,-13,-1,2
561,2,0,16,0,1,-13,-1,2
562,2,2,16,0,2,-14,-1,2
563,2,2,16,0,1,-16,0,2
564,2,2,14,1,0,-19,0,2
565,3,1,12,1,-1,-22,-1,2
566,3,-1,8,1,-1,-25,-1,1
567,3,-2,4,1,-2,-27,-1,0
568,3,-3,-1,1,-2,-30,0,-1
569,1,-4,-4,1,-1,-32,-1,-1
570,0,-4,-6,0,-1,-32,-1,-1
571,-1,-5,-6,0,-1,-30,-2,-1
572,-1,-5,-4,1,-1,-27,-3,-1
573,0,-4,-3,1,-1,-23,-3,-1
574,0,-3,-3,2,-1,-19,-3,-1
575,0,-2,-3,3,-1,-18,-2,0
576,-2,-1,-1,2,0,-17,-3,0
577,-3,0,-1,1,0,-18,-4,0
578,-5,-1,-2,-1,0,-19,-5,0
579,-5,-2,-3,-2,0,-19,-7,-1
580,-4,-3,-4,-3,0,-19,-7,-2
581,-3,-5,-3,-4,-1,-18,-8,-3
582,-3,-5,-1,-4,-1,-16,-7,-4
583,-3,-5,1,-4,-1,-14,-7,-4
584,-3,-4,2,-3,-1,-12,-6,-4
585,-3,-3,0,-2,-1,-11,-6,-4
586,-1,-2,-1,-1,0,-10,-5,-3
587,0,0,-2,1,1,-9,-4,-2
588,1,1,-2,1,1,-8,-3,-1
589,1,1,-2,1,0,-8,-3,-1
590,1,1,-2,1,0,-9,-2,-1
591,1,1,-3,0,-1,-11,-1,-1
592,1,1,-3,-1,-1,-14,0,-2
593,0,1,-2,-2,-1,-16,1,-2
594,0,1,-1,-2,-1,-17,1,-2
595,-1,1,0,-2,0,-17,0,-2
596,-1,1,2,-2,1,-17,-2,-2
597,-2,1,4,-2,2,-16,-3,-2
598,-2,1,7,-3,2,-14,-4,-2
599,-2,2,9,-3,2,-12,-4,-2
600,-2,2,11,-4,1,-10,-5,-2
601,-2,2,13,-4,0,-9,-5,-1
602,-2,3,13,-4,-1,-7,-4,-1
603,-3,3,13,-4,0,-5,-4,-1
604,-3,4,13,-3,0,-2,-2,0
605,-3,4,14,-3,1,1,-1,1
606,-2,5,14,-3,2,3,-1,2
607,-1,6,16,-2,3,5,0,3
608,-1,7,17,-2,4,6,-1,3
609,-1,8,18,-1,4,8,-1,3
610,-2,9,18,0,4,10,-1,3
611,-3,9,18,1,4,13,-1,3
612,-4,9,18,1,4,16,-2,3
613,-5,9,18,0,3,18,-3,3
614,-5,9,17,0,3,19,-3,3
615,-5,9,17,1,3,20,-3,4
616,-4,9,15,1,3,20,-2,5
617,-3,8,14,1,4,19,-1,5
618,-3,7,13,0,3,18,1,4
619,-3,6,14,0,3,17,2,3
